"month" "avg.capacity"
"01-1990" 319903
"01-1991" 434548
"01-1992" 322702
"01-1993" 203476
"01-1994" 410500
"01-1995" 252685
"01-1996" 458460
"01-1997" 244157
"01-1999" 483323
"01-2000" 464524
"02-1990" 292375
"02-1991" 391161
"02-1992" 299509
"02-1993" 163196
"02-1994" 399625
"02-1995" 217938
"02-1996" 419845
"02-1997" 237893
"02-1999" 433955
"02-2000" 409534
"03-1990" 256661
"03-1991" 313548
"03-1992" 248282
"03-1993" 157323
"03-1994" 309153
"03-1995" 170435
"03-1996" 432129
"03-1997" 214310
"03-1999" 334742
"03-2000" 336685
"04-1990" 209150
"04-1991" 219192
"04-1992" 184025
"04-1993" 140783
"04-1994" 216620
"04-1995" 157075
"04-1996" 232292
"04-1997" 211573
"04-1999" 268375
"04-2000" 349700
"05-1990" 148266
"05-1991" 131113
"05-1992" 142395
"05-1993" 116797
"05-1994" 131065
"05-1995" 140202
"05-1996" 162774
"05-1997" 179783
"05-1999" 53444
"05-2000" 94032
"06-1990" 164875
"06-1991" 173967
"06-1992" 145467
"06-1993" 109893
"06-1994" 157233
"06-1995" 154383
"06-1996" 155942
"06-1997" 180033
"06-1999" 194758
"06-2000" 83977
"07-1990" 387871
"07-1991" 200887
"07-1992" 271105
"07-1993" 185129
"07-1994" 257137
"07-1995" 226702
"07-1996" 251645
"07-1997" 316593
"07-1999" 393097
"07-2000" 114731
"08-1990" 435419
"08-1991" 192274
"08-1992" 426460
"08-1993" 249460
"08-1994" 372935
"08-1995" 350290
"08-1996" 329895
"08-1997" 473338
"08-1999" 515952
"08-2000" 230250
"09-1990" 351858
"09-1991" 424783
"09-1992" 410900
"09-1993" 0
"09-1994" 448892
"09-1995" 422500
"09-1996" 316533
"09-1997" 443224
"09-1999" 497733
"09-2000" 301232
"10-1990" 483727
"10-1991" 403823
"10-1992" 345903
"10-1993" 464597
"10-1994" 343250
"10-1995" 454903
"10-1996" 199476
"10-1997" 430585
"10-1999" 463040
"10-2000" 405435
"11-1990" 453342
"11-1991" 310667
"11-1992" 222933
"11-1993" 416033
"11-1994" 260242
"11-1995" 436575
"11-1996" 126517
"11-1997" 473121
"11-1999" 465575
"11-2000" 219580
"12-1990" 443992
"12-1991" 311476
"12-1992" 222516
"12-1993" 415645
"12-1994" 260831
"12-1995" 457710
"12-1996" 122218
"12-1997" 419194
"12-1999" 471000
"12-2000" 178135
